__run_id,__done,example_factor1,timestamp,tag,duration,package_0,core_0,cpu_power,input_file
run_0_repetition_0,DONE,unswitched,1729719030.6735542,unswitched_loop,0.007766246795654297,184469.0,8728.0,4.6000000000000005,optimized_loop25_unswitch.py
run_0_repetition_0,DONE,earlyT,1729719031.7317262,early_termination_loop,0.007409334182739258,144021.0,3570.0,5.9,optimized_loop25_earlyT.py
run_0_repetition_0,DONE,var,1729719032.7983892,var_termination_loop,0.006656646728515625,134286.0,5081.0,6.2,optimized_loop25_var.py
run_0_repetition_0,DONE,unrolled,1729719033.8627827,extracted_loop_26_unroll,0.8606324195861816,14872949.0,8030835.0,4.300000000000001,optimized_loop26_unroll.py
run_0_repetition_0,DONE,unswitched,1729719035.7805104,extracted_loop_26_unswitch,0.6869511604309082,13175359.0,400736.0,4.6,optimized_loop26_unswitch.py
run_0_repetition_0,DONE,earlyT,1729719037.5267694,extracted_loop_26_optimized,0.6527814865112305,11480622.0,329848.0,6.1,optimized_loop26_earlyT.py
run_0_repetition_0,DONE,var,1729719039.2206972,extracted_loop_26_variable_termination,0.6440975666046143,11590450.0,334959.0,5.699999999999999,optimized_loop26_var.py
run_0_repetition_0,DONE,unrolled,1729719040.9048207,extracted_loop_27,3.834804058074951,66159939.0,1702106.0,4.800000000000001,optimized_loop27_unroll.py
run_0_repetition_0,DONE,unswitched,1729719045.797739,extracted_loop_27,3.7836720943450928,69911577.0,1934760.0,5.9,optimized_loop27_unswitch.py
run_0_repetition_0,DONE,earlyT,1729719050.644567,extracted_loop_27,3.759953260421753,68106021.0,1755128.0,5.4,optimized_loop27_earlyT.py
run_0_repetition_0,DONE,var,1729719055.4711,extracted_loop_27,3.893162965774536,85945064.0,3000516.0,8.8,optimized_loop27_var.py
run_0_repetition_0,DONE,unrolled,1729719060.425309,extracted_loop_28,3.742090940475464,67881469.0,1757707.0,2.500000000000001,optimized_loop28_unroll.py
run_0_repetition_0,DONE,unswitched,1729719065.2138996,extracted_loop_28,3.7162442207336426,67465093.0,1374975.0,5.5,optimized_loop28_unswitch.py
run_0_repetition_0,DONE,earlyT,1729719069.9781132,extracted_loop_28,4.116970539093018,69612992.0,42205047.0,6.4,optimized_loop28_earlyT.py
run_0_repetition_0,DONE,var,1729719075.1585581,extracted_loop_28,3.8721084594726562,68838085.0,1546551.0,6.5,optimized_loop28_var.py
run_0_repetition_0,DONE,unrolled,1729719080.0914626,extracted_loop_29,4.520520210266113,82258853.0,1716281.0,6.1,optimized_loop29_unroll.py
run_0_repetition_0,DONE,unswitched,1729719085.6812208,extracted_loop_29,4.043341875076294,72440437.0,1710971.0,4.1000000000000005,optimized_loop29_unswitch.py
run_0_repetition_0,DONE,earlyT,1729719090.781838,extracted_loop_29,4.199719190597534,73689838.0,2119656.0,6.2,optimized_loop29_earlyT.py
run_0_repetition_0,DONE,var,1729719096.0251715,extracted_loop_30,3.774449586868286,66663545.0,1486938.0,3.0,optimized_loop29_var.py
run_0_repetition_0,DONE,unrolled,1729719100.8578563,extracted_loop_30,3.834203004837036,70539733.0,1699100.0,6.1,optimized_loop30_unroll.py
